,filename,true_label,pred_label,correct?
0,8106.jpg,fraxinus_pennsylvanica,fraxinus_pennsylvanica,True
1,16260.jpg,acer_palmatum,acer_palmatum,True
2,22213.jpg,juglans_cinerea,juglans_cinerea,True
3,8654.jpg,crataegus_viridis,crataegus_viridis,True
4,11506.jpg,aesculus_pavi,aesculus_pavi,True
5,13313.jpg,aesculus_pavi,aesculus_pavi,True
6,20783.jpg,prunus_subhirtella,prunus_subhirtella,True
7,17687.jpg,ptelea_trifoliata,ptelea_trifoliata,True
8,19375.jpg,populus_deltoides,populus_deltoides,True
9,14538.jpg,liquidambar_styraciflua,liquidambar_styraciflua,True
10,7037.jpg,ulmus_procera,ulmus_glabra,False
11,21677.jpg,magnolia_virginiana,magnolia_virginiana,True
12,1548.jpg,chamaecyparis_pisifera,chamaecyparis_pisifera,True
13,5963.jpg,ulmus_parvifolia,ulmus_parvifolia,True
14,4322.jpg,metasequoia_glyptostroboides,metasequoia_glyptostroboides,True
15,21652.jpg,acer_palmatum,acer_palmatum,True
16,10417.jpg,ficus_carica,ficus_carica,True
17,13275.jpg,cryptomeria_japonica,cryptomeria_japonica,True
18,733.jpg,quercus_muehlenbergii,prunus_sargentii,False
19,18731.jpg,pinus_cembra,pinus_koraiensis,False
20,8020.jpg,magnolia_virginiana,magnolia_virginiana,True
21,17005.jpg,styrax_japonica,styrax_japonica,True
22,253.jpg,malus_coronaria,malus_coronaria,True
23,1207.jpg,quercus_shumardii,quercus_shumardii,True
24,22048.jpg,cryptomeria_japonica,cryptomeria_japonica,True
25,10556.jpg,asimina_triloba,asimina_triloba,True
26,20483.jpg,malus_angustifolia,malus_angustifolia,True
27,20341.jpg,quercus_muehlenbergii,quercus_muehlenbergii,True
28,1404.jpg,platanus_occidentalis,platanus_occidentalis,True
29,5156.jpg,juniperus_virginiana,juniperus_virginiana,True
30,19799.jpg,ulmus_procera,ulmus_procera,True
31,23528.jpg,acer_pseudoplatanus,acer_pseudoplatanus,True
32,15518.jpg,quercus_macrocarpa,quercus_macrocarpa,True
33,20928.jpg,castanea_dentata,castanea_dentata,True
34,14586.jpg,salix_caroliniana,salix_caroliniana,True
35,9432.jpg,maclura_pomifera,maclura_pomifera,True
36,16865.jpg,populus_tremuloides,populus_tremuloides,True
37,7598.jpg,tsuga_canadensis,cedrus_libani,False
38,7867.jpg,ulmus_glabra,ulmus_glabra,True
39,9246.jpg,juglans_nigra,juglans_nigra,True
40,11717.jpg,chionanthus_virginicus,chionanthus_virginicus,True
41,4753.jpg,tilia_cordata,tilia_cordata,True
42,17841.jpg,quercus_nigra,quercus_nigra,True
43,11391.jpg,taxodium_distichum,taxodium_distichum,True
44,1737.jpg,catalpa_speciosa,catalpa_speciosa,True
45,13338.jpg,ostrya_virginiana,ostrya_virginiana,True
46,15475.jpg,prunus_yedoensis,prunus_yedoensis,True
47,23333.jpg,prunus_virginiana,prunus_virginiana,True
48,676.jpg,oxydendrum_arboreum,oxydendrum_arboreum,True
49,3470.jpg,magnolia_stellata,magnolia_stellata,True
50,6624.jpg,chamaecyparis_pisifera,chamaecyparis_pisifera,True
51,16023.jpg,ostrya_virginiana,ostrya_virginiana,True
52,14547.jpg,pinus_parviflora,pinus_parviflora,True
53,22783.jpg,catalpa_speciosa,cercis_canadensis,False
54,11918.jpg,gymnocladus_dioicus,gymnocladus_dioicus,True
55,19067.jpg,ulmus_parvifolia,ulmus_parvifolia,True
56,5489.jpg,pinus_wallichiana,pinus_thunbergii,False
57,14713.jpg,maclura_pomifera,maclura_pomifera,True
58,685.jpg,acer_negundo,acer_negundo,True
59,9507.jpg,tilia_tomentosa,tilia_tomentosa,True
60,2441.jpg,prunus_sargentii,quercus_muehlenbergii,False
61,20711.jpg,fraxinus_nigra,fraxinus_nigra,True
62,22481.jpg,quercus_phellos,quercus_phellos,True
63,15179.jpg,cercidiphyllum_japonicum,cercidiphyllum_japonicum,True
64,19924.jpg,aesculus_hippocastamon,aesculus_hippocastamon,True
65,3984.jpg,pyrus_calleryana,pyrus_calleryana,True
66,17032.jpg,carya_glabra,carya_glabra,True
67,10235.jpg,salix_babylonica,salix_babylonica,True
68,19596.jpg,acer_campestre,acer_campestre,True
69,2920.jpg,magnolia_denudata,magnolia_denudata,True
70,3774.jpg,gymnocladus_dioicus,gymnocladus_dioicus,True
71,8658.jpg,crataegus_laevigata,crataegus_laevigata,True
72,19572.jpg,salix_babylonica,salix_babylonica,True
73,2528.jpg,salix_caroliniana,salix_caroliniana,True
74,20224.jpg,pinus_rigida,pinus_densiflora,False
75,12046.jpg,quercus_macrocarpa,quercus_macrocarpa,True
76,14835.jpg,pinus_bungeana,pinus_bungeana,True
77,2906.jpg,sassafras_albidum,sassafras_albidum,True
78,14219.jpg,acer_griseum,acer_griseum,True
79,8931.jpg,betula_nigra,betula_nigra,True
80,19157.jpg,acer_platanoides,acer_platanoides,True
81,3966.jpg,acer_pseudoplatanus,acer_pseudoplatanus,True
82,5434.jpg,fagus_grandifolia,fagus_grandifolia,True
83,20844.jpg,ginkgo_biloba,ginkgo_biloba,True
84,12398.jpg,pinus_parviflora,pinus_parviflora,True
85,21558.jpg,malus_hupehensis,malus_hupehensis,True
86,19042.jpg,salix_babylonica,salix_babylonica,True
87,22226.jpg,fagus_grandifolia,fagus_grandifolia,True
88,9028.jpg,koelreuteria_paniculata,koelreuteria_paniculata,True
89,7891.jpg,celtis_occidentalis,celtis_occidentalis,True
90,3516.jpg,quercus_rubra,quercus_rubra,True
91,1669.jpg,picea_abies,picea_abies,True
92,5338.jpg,chamaecyparis_thyoides,chamaecyparis_thyoides,True
93,22217.jpg,pyrus_calleryana,pyrus_calleryana,True
94,4651.jpg,quercus_muehlenbergii,prunus_sargentii,False
95,11460.jpg,magnolia_macrophylla,magnolia_macrophylla,True
96,14016.jpg,cornus_kousa,cornus_kousa,True
97,17619.jpg,acer_saccharum,acer_saccharum,True
98,9695.jpg,pinus_cembra,pinus_cembra,True
99,23081.jpg,magnolia_grandiflora,magnolia_grandiflora,True
100,16584.jpg,ulmus_parvifolia,ulmus_parvifolia,True
101,22833.jpg,albizia_julibrissin,albizia_julibrissin,True
102,21418.jpg,chionanthus_virginicus,chionanthus_virginicus,True
103,7121.jpg,broussonettia_papyrifera,eucommia_ulmoides,False
104,16866.jpg,cladrastis_lutea,cladrastis_lutea,True
105,727.jpg,morus_alba,betula_nigra,False
106,5974.jpg,quercus_nigra,quercus_nigra,True
107,9645.jpg,metasequoia_glyptostroboides,metasequoia_glyptostroboides,True
108,11965.jpg,aesculus_pavi,aesculus_pavi,True
109,14543.jpg,ilex_opaca,ilex_opaca,True
110,21470.jpg,betula_populifolia,betula_populifolia,True
111,22439.jpg,salix_babylonica,salix_nigra,False
112,22157.jpg,acer_rubrum,acer_rubrum,True
113,18451.jpg,magnolia_virginiana,magnolia_denudata,False
114,8028.jpg,pinus_nigra,pinus_echinata,False
115,12878.jpg,tilia_americana,tilia_americana,True
116,8386.jpg,pinus_taeda,pinus_taeda,True
117,19888.jpg,prunus_subhirtella,prunus_subhirtella,True
118,5414.jpg,pinus_wallichiana,pinus_wallichiana,True
119,1689.jpg,pinus_strobus,pinus_strobus,True
120,7247.jpg,evodia_daniellii,evodia_daniellii,True
121,7940.jpg,pinus_nigra,pinus_resinosa,False
122,13254.jpg,magnolia_acuminata,magnolia_acuminata,True
123,16426.jpg,styrax_japonica,styrax_japonica,True
124,10951.jpg,catalpa_speciosa,catalpa_speciosa,True
125,21417.jpg,betula_jacqemontii,betula_jacqemontii,True
126,13750.jpg,tilia_tomentosa,tilia_tomentosa,True
127,6591.jpg,quercus_velutina,quercus_velutina,True
128,9048.jpg,malus_angustifolia,malus_angustifolia,True
129,6000.jpg,prunus_serrulata,prunus_serrulata,True
130,18788.jpg,ulmus_pumila,ulmus_pumila,True
131,12228.jpg,betula_jacqemontii,betula_jacqemontii,True
132,9514.jpg,betula_alleghaniensis,betula_alleghaniensis,True
133,5498.jpg,carya_glabra,carya_glabra,True
134,17919.jpg,morus_alba,morus_alba,True
135,19490.jpg,catalpa_speciosa,catalpa_speciosa,True
136,3541.jpg,betula_jacqemontii,betula_jacqemontii,True
137,423.jpg,catalpa_bignonioides,catalpa_bignonioides,True
138,1229.jpg,amelanchier_laevis,amelanchier_laevis,True
139,2253.jpg,prunus_yedoensis,prunus_yedoensis,True
